pipeline,score
"RandomForestClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.038), RandomForestClassifier__bootstrap=False, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.25, RandomForestClassifier__min_samples_leaf=2, RandomForestClassifier__min_samples_split=17, RandomForestClassifier__n_estimators=100)",0.6746376811594202
"DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=14, DecisionTreeClassifier__min_samples_split=10)",0.5376811594202898
"DecisionTreeClassifier(Nystroem(input_matrix, Nystroem__gamma=0.15000000000000002, Nystroem__kernel=polynomial, Nystroem__n_components=6), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=15, DecisionTreeClassifier__min_samples_split=7)",0.5460144927536231
"GaussianNB(RBFSampler(BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False), RBFSampler__gamma=1.0))",0.3065217391304348
"DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=16, DecisionTreeClassifier__min_samples_split=10)",0.5373188405797102
"GaussianNB(BernoulliNB(BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=True), BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False))",0.5981884057971014
"BernoulliNB(input_matrix, BernoulliNB__alpha=0.001, BernoulliNB__fit_prior=True)",0.6326086956521739
"RandomForestClassifier(MinMaxScaler(input_matrix), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.2, RandomForestClassifier__min_samples_leaf=1, RandomForestClassifier__min_samples_split=4, RandomForestClassifier__n_estimators=100)",0.6818840579710146
"GaussianNB(BernoulliNB(Binarizer(input_matrix, Binarizer__threshold=0.05), BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False))",0.4786231884057971
"DecisionTreeClassifier(Nystroem(input_matrix, Nystroem__gamma=0.9500000000000001, Nystroem__kernel=rbf, Nystroem__n_components=5), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=15, DecisionTreeClassifier__min_samples_split=2)",0.3159420289855072
"RandomForestClassifier(MinMaxScaler(input_matrix), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.2, RandomForestClassifier__min_samples_leaf=6, RandomForestClassifier__min_samples_split=4, RandomForestClassifier__n_estimators=100)",0.6833333333333333
"DecisionTreeClassifier(BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=1, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=7)",0.5478260869565218
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.8, ExtraTreesClassifier__min_samples_leaf=3, ExtraTreesClassifier__min_samples_split=5, ExtraTreesClassifier__n_estimators=100)",0.6235507246376811
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.45, RandomForestClassifier__min_samples_leaf=6, RandomForestClassifier__min_samples_split=4, RandomForestClassifier__n_estimators=100)",0.6492753623188406
"KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=37, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance)",0.49492753623188407
"KNeighborsClassifier(SelectFwe(SelectFwe(input_matrix, SelectFwe__alpha=0.036000000000000004), SelectFwe__alpha=0.038), KNeighborsClassifier__n_neighbors=61, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance)",0.46014492753623193
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.5, ExtraTreesClassifier__min_samples_leaf=3, ExtraTreesClassifier__min_samples_split=4, ExtraTreesClassifier__n_estimators=100)",0.6405797101449276
"BernoulliNB(ZeroCount(input_matrix), BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=False)",0.6492753623188408
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=True, ExtraTreesClassifier__criterion=entropy, ExtraTreesClassifier__max_features=0.1, ExtraTreesClassifier__min_samples_leaf=2, ExtraTreesClassifier__min_samples_split=18, ExtraTreesClassifier__n_estimators=100)",0.639855072463768
"DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=1, DecisionTreeClassifier__min_samples_split=10)",0.5460144927536232
"RandomForestClassifier(ZeroCount(ZeroCount(input_matrix)), RandomForestClassifier__bootstrap=False, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.9500000000000001, RandomForestClassifier__min_samples_leaf=2, RandomForestClassifier__min_samples_split=9, RandomForestClassifier__n_estimators=100)",0.5293478260869565
