date,predicted_roberta,RateDiff,prev_decision,Employ_diff_year,Rsales_diff_year,Unemp_diff_year,Employ_diff_prev,GDP_diff_year,PCE_diff_prev,Unemp_diff_prev,Hsales_diff_year,GDP_diff_prev,Taylor,next_decision
2007-01-31,0.10526315789473684,0.0,0,2092.0,2.121241496501662,0.5,184.0,2.634560376343822,0.04721100960744784,0.09999999999999964,-19.451170298627925,0.8594498006118884,8.253769481247275,0
2007-03-21,0.15,0.0,0,1823.0,0.19675411918802385,0.2999999999999998,78.0,2.634560376343822,0.4052780395853067,0.09999999999999964,-21.960414703110274,0.8594498006118884,8.740914556103428,0
2007-05-09,0.16,0.0,0,1632.0,-0.13701091595166434,0.20000000000000018,62.0,1.5767249700146762,0.10069314349943626,-0.09999999999999964,-21.01513802315227,0.3008356667056531,8.449576956469354,0
2007-06-28,0.3076923076923077,0.0,0,1746.0,1.2460496613995486,0.1999999999999993,150.0,1.5767249700146762,0.14270007251970884,0.09999999999999964,-22.467771639042358,0.3008356667056531,8.200553528627424,0
2007-08-07,0.25,0.0,0,1520.0,0.6228205519478685,0.0,-30.0,1.9343747200181116,0.16566142072167236,-0.10000000000000053,-19.378238341968913,0.61176195799464,7.925972488057585,0
2007-08-10,0.5,0.0,0,1520.0,0.6228205519478685,0.0,-30.0,1.9343747200181116,0.16566142072167236,-0.10000000000000053,-19.378238341968913,0.61176195799464,7.925972488057585,0
2007-08-16,0.3,0.0,0,1520.0,0.6228205519478685,0.0,-30.0,1.9343747200181116,0.16566142072167236,-0.10000000000000053,-19.378238341968913,0.61176195799464,7.925972488057585,-1
2007-09-18,0.17857142857142858,-0.5,0,1329.0,1.0402129018041282,0.10000000000000053,-25.0,1.9343747200181116,0.15024633410592353,0.10000000000000053,-32.463768115942024,0.61176195799464,8.006733467862148,-1
2007-10-31,0.0625,-0.25,-1,1279.0,1.0124179387803527,-0.20000000000000018,86.0,2.3680360773066247,0.14885798018328153,-0.10000000000000053,-32.48031496062992,0.5760257959612383,7.9223350122524465,0
2007-12-06,-0.75,0.0,-1,1223.0,1.0356809517919192,-0.20000000000000018,118.0,2.3680360773066247,0.2605644404812849,0.0,-36.09172482552343,0.5760257959612383,8.271822258246342,-1
2007-12-11,0.0,-0.25,0,1223.0,1.0356809517919192,-0.20000000000000018,118.0,2.3680360773066247,0.2605644404812849,0.0,-36.09172482552343,0.5760257959612383,8.271822258246342,0
2008-01-21,0.0,-0.75,0,1145.0,-1.1558498846942025,-0.5999999999999996,106.0,2.3680360773066247,0.19635926815745902,-0.2999999999999998,-37.97595190380761,0.5760257959612383,8.500321768053796,-1
2008-01-30,-0.045454545454545456,-0.5,-1,1145.0,-1.1558498846942025,-0.5999999999999996,106.0,2.3680360773066247,0.19635926815745902,-0.2999999999999998,-37.97595190380761,0.5760257959612383,8.500321768053796,0
2008-03-10,-0.16666666666666666,0.0,-1,769.0,-1.9137440598753344,-0.40000000000000036,-76.0,2.1333646824578647,0.1990335941095281,0.09999999999999964,-28.381642512077292,0.628236731812622,8.368939597161486,-1
2008-03-18,-0.25,-0.75,0,769.0,-1.9137440598753344,-0.40000000000000036,-76.0,2.1333646824578647,0.1990335941095281,0.09999999999999964,-28.381642512077292,0.628236731812622,8.368939597161486,-1
2008-04-30,0.038461538461538464,-0.25,-1,474.0,-2.3595191501258035,-0.6999999999999993,-68.0,1.392471205518535,0.09759682178819623,-0.1999999999999993,-35.77430972388956,-0.42676432089947014,8.187981370733514,0
2008-06-25,-0.3,0.0,-1,-146.0,-2.6069071613305983,-1.0,-191.0,1.392471205518535,0.058386472655670846,-0.40000000000000036,-40.142517814726844,-0.42676432089947014,7.76227697890553,0
2008-08-05,0.1,0.0,0,-550.0,-3.819949561612905,-1.0999999999999996,-197.0,1.3760107660276268,0.2295594970248719,-0.20000000000000018,-38.688946015424165,0.5954282618129348,8.028941478546557,0
2008-09-16,-0.2,0.0,0,-808.0,-4.80360577998479,-1.5,-283.0,1.3760107660276268,0.18003646308113178,-0.2999999999999998,-37.76824034334764,0.5954282618129348,8.074547523323695,0
2008-10-07,-0.09090909090909091,-0.5,0,-1345.0,-6.288801637638847,-1.3999999999999995,-451.0,1.3760107660276268,0.12284173889304793,0.0,-36.88046647230321,0.5954282618129348,8.034706566328104,-1
2008-10-29,-0.3,-0.5,-1,-1345.0,-6.288801637638847,-1.3999999999999995,-451.0,1.3760107660276268,0.12284173889304793,0.0,-36.88046647230321,0.5954282618129348,8.034706566328104,-1
2008-12-16,0.0,-1.0,-1,-2746.0,-11.403147538064285,-2.0999999999999996,-748.0,0.265967272128689,-0.1418584593036452,-0.2999999999999998,-39.31357254290172,-0.5252580505168849,6.6751991759463625,0
